brand,brand_rank,model,diameter_mm,thickness_mm,lug_to_lug_mm,caliber,price_tier,market_momentum,data_confidence,production_status,source_file
Ulysse Nardin,21,Marine Torpilleur 42,42,11.13,≈49,UN-118,10k_15k,contrarian,набл.,active,ulysse-nardin.md
Ulysse Nardin,21,Marine Torpilleur Moonphase 42,42,11.13,≈49,UN-119,10k_15k,contrarian,набл.,active,ulysse-nardin.md
Ulysse Nardin,21,Diver 44,44,14.0,≈51,UN-118,10k_15k,contrarian,набл.,active,ulysse-nardin.md
Ulysse Nardin,21,Diver Net 44,44,14.0,≈51,UN-118,10k_15k,contrarian,набл.,active,ulysse-nardin.md
Ulysse Nardin,21,Freak X 43,43,13.0,≈49,UN-230,15k_plus,insider_hype,набл.,active,ulysse-nardin.md
Ulysse Nardin,21,Freak ONE,44,12.0,≈52,UN-240,15k_plus,insider_hype,набл.,active,ulysse-nardin.md
Ulysse Nardin,21,Freak S,45,16.65,≈53,UN-251,15k_plus,insider_hype,смеш.,active,ulysse-nardin.md
Ulysse Nardin,21,Diver Chronograph 44,44,16.1,≈52,UN-150,15k_plus,contrarian,набл.,active,ulysse-nardin.md
Ulysse Nardin,21,Blast Skeleton X 42,42,12.2,≈49,UN-371,15k_plus,insider_hype,набл.,active,ulysse-nardin.md
Ulysse Nardin,21,Blast Tourbillon 45,45,13.0,≈53,UN-172,15k_plus,insider_hype,смеш.,active,ulysse-nardin.md
Glashütte Original,22,Senator Excellence 40,40,10.0,≈47,Calibre 36-01,5k_10k,contrarian,набл.,active,glashutte-original.md
Glashütte Original,22,PanoMaticLunar 40,40,12.7,≈47,Calibre 90-02,10k_15k,evergreen,набл.,active,glashutte-original.md
Glashütte Original,22,PanoReserve 40,40,11.7,≈47,Calibre 65-01,10k_15k,evergreen,набл.,active,glashutte-original.md
Glashütte Original,22,Senator Excellence Panorama Date Moon Phase 40,40,12.2,≈47,Calibre 36-04,10k_15k,evergreen,набл.,active,glashutte-original.md
Glashütte Original,22,SeaQ 39.5,39.5,12.15,≈47,Calibre 39-11,10k_15k,macro_trend,набл.,active,glashutte-original.md
Glashütte Original,22,SeaQ Panorama Date 43.2,43.2,15.65,≈51.5,Calibre 36-13,10k_15k,evergreen,набл.,active,glashutte-original.md
Glashütte Original,22,PanoMaticInverse 42,42,12.3,≈49,Calibre 91-02,15k_plus,insider_hype,набл.,active,glashutte-original.md
Glashütte Original,22,Senator Chronometer 42,42,12.47,≈49,Calibre 58-01,15k_plus,contrarian,набл.,active,glashutte-original.md
Glashütte Original,22,SeaQ Chronograph 43.2,43.2,16.95,≈51.5,Calibre 37-23,15k_plus,contrarian,набл.,active,glashutte-original.md
Glashütte Original,22,Seventies Chronograph Panorama Date,40×40,14.1,≈47.5,Calibre 37-02,15k_plus,contrarian,набл.,active,glashutte-original.md
Piaget,23,Piaget Polo Date 42,42,9.4,≈47.4,1110P,10k_15k,macro_trend,набл.,active,piaget.md
Piaget,23,Piaget Polo Field 42,42,9.4,≈47.4,1110P,10k_15k,macro_trend,набл.,active,piaget.md
Piaget,23,Altiplano Origin Automatic 40,40,6.36,≈47,1205P1,15k_plus,evergreen,набл.,active,piaget.md
Piaget,23,Altiplano Origin Manual 38,38,6.0,≈44,430P,15k_plus,evergreen,набл.,active,piaget.md
Piaget,23,Altiplano Ultimate Automatic 41,41,4.3,≈48,910P,15k_plus,insider_hype,набл.,active,piaget.md
Piaget,23,Altiplano Ultimate Concept 41,41,2.0,≈48,900P-UC,15k_plus,insider_hype,оц.класс,active,piaget.md
Piaget,23,Piaget Polo Skeleton 42,42,6.5,≈47.4,1200S1,15k_plus,insider_hype,набл.,active,piaget.md
Piaget,23,Piaget Polo Chronograph 42,42,11.2,≈47.4,1160P,15k_plus,contrarian,набл.,active,piaget.md
Piaget,23,Limelight Gala 32,32,≈8,≈41,501P1,15k_plus,evergreen,набл.,active,piaget.md
Piaget,23,Emperador Coussin Tourbillon,46.5,≈10.4,≈54,1270S,15k_plus,contrarian,оц.класс,active,piaget.md
Bulgari,24,Bulgari Aluminium 40,40,9.7,≈48,B192 / automatic,2k_5k,macro_trend,набл.,active,bulgari.md
Bulgari,24,Bulgari Aluminium Chronograph 40,40,11.1,≈48,B130 quartz,2k_5k,evergreen,набл.,active,bulgari.md
Bulgari,24,Octo Roma Automatic 41,41,9.15,≈46,BVL 191,5k_10k,evergreen,набл.,active,bulgari.md
Bulgari,24,Bulgari Bulgari 41,41,9.6,≈47,BVL 191,5k_10k,evergreen,набл.,active,bulgari.md
Bulgari,24,Serpenti Seduttori 33,33,≈6.9,интегрированный браслет; L2L н/п,BVS100 automatic,5k_10k,macro_trend,набл.,active,bulgari.md
Bulgari,24,Serpenti Tubogas 35,35,≈8,спиральный браслет; L2L н/п,quartz,5k_10k,evergreen,набл.,active,bulgari.md
Bulgari,24,Octo Finissimo S Steel,40,6.4,≈46.5,BVL 138,10k_15k,macro_trend,набл.,active,bulgari.md
Bulgari,24,Octo Finissimo Automatic Titanium,40,6.4,≈46.5,BVL 138,15k_plus,macro_trend,набл.,active,bulgari.md
Bulgari,24,Octo Finissimo Chronograph GMT,42,6.9,≈49,BVL 318,15k_plus,insider_hype,набл.,active,bulgari.md
Bulgari,24,Octo Finissimo Tourbillon,40,3.95,≈46.5,BVL 268,15k_plus,insider_hype,смеш.,active,bulgari.md
Longines,25,HydroConquest 41 Automatic,41,12.9,≈51.1,L888,1k_2k,evergreen,набл.,active,longines.md
Longines,25,DolceVita 27.7×43.8,27.7×43.8,10.1,43.8,L592 quartz,1k_2k,evergreen,набл.,active,longines.md
Longines,25,Master Collection 40,40,9.35,≈47.5,L888,2k_5k,evergreen,набл.,active,longines.md
Longines,25,Master Collection Chronograph,40,14.2,≈47.5,L889,2k_5k,evergreen,набл.,active,longines.md
Longines,25,HydroConquest GMT 41,41,12.9,≈49,L844,2k_5k,macro_trend,набл.,active,longines.md
Longines,25,Spirit 40,40,12.2,≈49.6,L888.4,2k_5k,evergreen,набл.,active,longines.md
Longines,25,Spirit Zulu Time 39,39,13.5,≈46.8,L844.4,2k_5k,macro_trend,набл.,active,longines.md
Longines,25,Legend Diver 39,39,12.7,47,L888.6,2k_5k,insider_hype,набл.,active,longines.md
Longines,25,Conquest 38,38,10.9,≈46.8,L888,2k_5k,macro_trend,набл.,active,longines.md
Longines,25,Ultra-Chron Carbon,43,14.0,≈50.8,L836.6,2k_5k,contrarian,набл.,active,longines.md
Nomos Glashütte,26,Club Campus 36,36,8.2,47.5,Alpha,1k_2k,macro_trend,набл.,active,nomos-glashutte.md
Nomos Glashütte,26,Tangente 35,35,6.2,45,Alpha,2k_5k,evergreen,набл.,active,nomos-glashutte.md
Nomos Glashütte,26,Tangente neomatik 39,38.5,7.2,47.3,DUW 3001,2k_5k,evergreen,набл.,active,nomos-glashutte.md
Nomos Glashütte,26,Tangente neomatik 41 Update,40.5,7.8,49.3,DUW 6101,2k_5k,insider_hype,набл.,active,nomos-glashutte.md
Nomos Glashütte,26,Club Sport neomatik 37,37,8.3,47.7,DUW 3001,2k_5k,macro_trend,набл.,active,nomos-glashutte.md
Nomos Glashütte,26,Metro 38 date,37.5,7.7,47.7,DUW 4101,2k_5k,contrarian,набл.,active,nomos-glashutte.md
Nomos Glashütte,26,Metro neomatik 41 Update,40.5,9.1,47.5,DUW 6101,2k_5k,insider_hype,набл.,active,nomos-glashutte.md
Nomos Glashütte,26,Orion 38,38,8.9,48,Alpha,2k_5k,evergreen,набл.,active,nomos-glashutte.md
Nomos Glashütte,26,Ludwig neomatik 39,38.5,7,48.5,DUW 3001,2k_5k,contrarian,набл.,active,nomos-glashutte.md
Nomos Glashütte,26,Autobahn neomatik 41 date,41,10.5,≈49.8,DUW 6101,5k_10k,contrarian,набл.,active,nomos-glashutte.md
Sinn,27,556 I,38.5,11,45.5,SW200-1,1k_2k,evergreen,набл.,active,sinn.md
Sinn,27,556 A,38.5,11,45.5,SW200-1,1k_2k,evergreen,набл.,active,sinn.md
Sinn,27,104 St Sa I,41,11.5,47.5,SW220-1,1k_2k,evergreen,набл.,active,sinn.md
Sinn,27,356 Pilot,38.5,15.5,45.6,SW500,2k_5k,evergreen,набл.,active,sinn.md
Sinn,27,U1,44,14.7,50.5,SW200-1,2k_5k,evergreen,набл.,active,sinn.md
Sinn,27,U50,41,11.15,47,SW300-1,2k_5k,macro_trend,набл.,active,sinn.md
Sinn,27,EZM 3,41,12.3,47,SW200-1,2k_5k,contrarian,набл.,active,sinn.md
Sinn,27,EZM 13.1,41,15,47,SZ02 (SW500),2k_5k,contrarian,набл.,active,sinn.md
Sinn,27,UX SDR GSG 9,44,13.3,50.5,ETA 955.652 quartz,2k_5k,contrarian,набл.,active,sinn.md
Sinn,27,900 Diapal,44,15.5,≈52,SZ01 (SW500),2k_5k,contrarian,набл.,active,sinn.md
Casio/G-Shock,28,Casio F-91W,33.2×38.2,8.5,38.2,Module 593,under_300,evergreen,набл.,active,casio-g-shock.md
Casio/G-Shock,28,Casio A168,36.3×38.6,9.6,38.6,Module 3298,under_300,evergreen,набл.,active,casio-g-shock.md
Casio/G-Shock,28,Duro Marlin,44.2,12.1,49.7,Miyota 2115,under_300,evergreen,набл.,active,casio-g-shock.md
Casio/G-Shock,28,G-SHOCK Square,42.8×48.9,13.4,48.9,Module 3525,under_300,evergreen,набл.,active,casio-g-shock.md
Casio/G-Shock,28,G-SHOCK CasiOak,45.4×48.5,11.8,48.5,Module 5611,under_300,macro_trend,набл.,active,casio-g-shock.md
Casio/G-Shock,28,Edifice Sospensione,47.8×51,10.8,51,Module 5698 Tough Solar,under_300,macro_trend,набл.,active,casio-g-shock.md
Casio/G-Shock,28,G-SHOCK Mudmaster,52.1×58.7,16.2,58.7,Module 5713 Tough Solar,500_1k,contrarian,набл.,active,casio-g-shock.md
Casio/G-Shock,28,G-SHOCK Frogman,53.3×59.2,18,59.2,Module 3445 Tough Solar,1k_2k,contrarian,набл.,active,casio-g-shock.md
Casio/G-Shock,28,Oceanus Manta,42.8,9.5,47.5,Module 5701 Tough Solar,1k_2k,insider_hype,набл.,active,casio-g-shock.md
Casio/G-Shock,28,G-SHOCK MR-G,49.8×54.7,16.9,54.7,Module 5625 Tough Solar,5k_10k,insider_hype,набл.,active,casio-g-shock.md
Seiko,29,Seiko 5 Sports,42.5,13.4,46,4R36,300_500,evergreen,набл.,active,seiko.md
Seiko,29,5 Sports Field GMT,39.4,13.6,47.9,4R34,300_500,macro_trend,набл.,active,seiko.md
Seiko,29,Prospex Solar Diver,38.5,10.6,46.5,V147 solar,300_500,evergreen,набл.,active,seiko.md
Seiko,29,Presage Cocktail Time,40.5,11.8,47.5,4R35,300_500,evergreen,набл.,active,seiko.md
Seiko,29,Prospex Turtle,45,13.4,47.7,4R36,500_1k,evergreen,набл.,active,seiko.md
Seiko,29,Prospex Samurai,41.7,12.3,49.5,4R35,500_1k,macro_trend,набл.,active,seiko.md
Seiko,29,Prospex Alpinist,39.5,13.2,46.4,6R35,500_1k,evergreen,набл.,active,seiko.md
Seiko,29,Prospex 1965 Diver,40.5,13.2,47.6,6R35,1k_2k,evergreen,набл.,active,seiko.md
Seiko,29,King Seiko KSK,37,12.1,43.6,6R31,1k_2k,contrarian,набл.,active,seiko.md
Seiko,29,Astron GPS Solar,41.2,12,48.6,3X62 GPS Solar,2k_5k,contrarian,набл.,active,seiko.md
Citizen,30,Eco-Drive Chandler,37.2,9.5,43,E100 solar,under_300,evergreen,набл.,active,citizen.md
Citizen,30,Promaster Diver,44,12,≈48,E168 Eco-Drive,300_500,evergreen,набл.,active,citizen.md
Citizen,30,Tsuyosa 40,40,11.7,≈45 (интегр.),8210,300_500,macro_trend,набл.,active,citizen.md
Citizen,30,Zenshin Mechanical,40.5,11,≈47,8213,500_1k,macro_trend,набл.,active,citizen.md
Citizen,30,Series 8 831,40,10,≈47,9051,1k_2k,insider_hype,набл.,active,citizen.md
Citizen,30,Series 8 GMT 880,41,13.5,≈47.8,9054,1k_2k,insider_hype,набл.,active,citizen.md
Citizen,30,Attesa Satellite Wave,44.6,15.4,≈50,F950 GPS Eco-Drive,2k_5k,contrarian,набл.,active,citizen.md
Citizen,30,The Citizen Chronomaster,40,12.2,48.3,A060 Eco-Drive,2k_5k,insider_hype,набл.,active,citizen.md
Citizen,30,Campanola Cosmosign,44,14.5,≈50,4398 quartz,2k_5k,contrarian,набл.,active,citizen.md
Citizen,30,The Citizen Caliber 0100,37.5,9.1,≈44,0100 Eco-Drive,5k_10k,contrarian,набл.,active,citizen.md
Hamilton,31,Khaki Field Mechanical 38,38,9.5,47,H-50,500_1k,evergreen,набл.,active,hamilton.md
Hamilton,31,Khaki Field Auto 38,38,11,47,H-10,500_1k,evergreen,набл.,active,hamilton.md
Hamilton,31,Khaki Field Murph 38,38,11.1,44.7,H-10,500_1k,macro_trend,набл.,active,hamilton.md
Hamilton,31,Khaki Aviation Pilot Pioneer,36×33,9.95,≈41,H-50,500_1k,contrarian,набл.,active,hamilton.md
Hamilton,31,Ventura Quartz,32.3×50.3,9.3,50.3,F05.115 quartz,500_1k,evergreen,набл.,active,hamilton.md
Hamilton,31,Khaki Navy Scuba Auto 43,43,12.6,≈52,H-10,1k_2k,evergreen,набл.,active,hamilton.md
Hamilton,31,Khaki Navy Frogman 46,46,13.6,≈51.3,H-10,1k_2k,contrarian,набл.,active,hamilton.md
Hamilton,31,Jazzmaster Open Heart 40,40,11.05,≈50,H-10,1k_2k,macro_trend,набл.,active,hamilton.md
Hamilton,31,Pan Europ Auto 42,42,11.55,≈49,H-30,1k_2k,contrarian,набл.,active,hamilton.md
Hamilton,31,Intra-Matic Auto Chrono 40,40,14.45,49.2,H-31,2k_5k,evergreen,набл.,active,hamilton.md
Tissot,32,PRX Quartz 35,35,9.6,"≈39 (корпус), ≈44 с первым звеном",ETA F05.115,300_500,macro_trend,набл.,active,tissot.md
Tissot,32,PRX Powermatic 80 35,35,10.9,≈39/44 с первым звеном,Powermatic 80.111,500_1k,macro_trend,набл.,active,tissot.md
Tissot,32,PRX Powermatic 80 40,40,10.9,≈44/51 с первым звеном,Powermatic 80.111,500_1k,macro_trend,набл.,active,tissot.md
Tissot,32,Gentleman Powermatic 80,40,11.5,48,Powermatic 80 Silicium,500_1k,evergreen,набл.,active,tissot.md
Tissot,32,Seastar 1000 40,40,12.5,46,Powermatic 80,500_1k,evergreen,набл.,active,tissot.md
Tissot,32,Le Locle Powermatic 80,39.3,9.75,48.25,Powermatic 80.111,500_1k,evergreen,набл.,active,tissot.md
Tissot,32,Heritage Visodate,42,11.6,≈51,ETA 2836-2,500_1k,contrarian,набл.,active,tissot.md
Tissot,32,Seastar 2000 Professional,46,16.25,51.6,Powermatic 80,1k_2k,contrarian,набл.,active,tissot.md
Tissot,32,T-Touch Connect Solar,47.5,15.3,≈55,solar connected quartz,1k_2k,contrarian,набл.,active,tissot.md
Tissot,32,PRX Automatic Chronograph,42,14.5,≈46/53 с первым звеном,A05.H31,2k_5k,macro_trend,набл.,active,tissot.md
Oris,33,Aquis Date Calibre 400 43.5,43.5,13; также 13.5–13.7,≈49; также ≈50,"Oris Calibre 400, автоматический, дата",2k_5k,evergreen,набл.,active,oris.md
Oris,33,Aquis Date Upcycle 41.5,41.5,12.9,≈49,Oris 733-1; в публикациях Oris 733,2k_5k,macro_trend,набл.,active,oris.md
Oris,33,Divers Sixty-Five 40,40,12.8,≈48,"Oris 733, база Sellita SW200-1",2k_5k,evergreen,набл.,active,oris.md
Oris,33,Divers Date 39,39,12.1; в одном источнике 12.8,≈46.5,"Oris Calibre 733, база Sellita SW200-1",2k_5k,macro_trend,набл.,active,oris.md
Oris,33,Big Crown Pointer Date Calibre 403 40,40,12.3,≈47.5,Oris Calibre 403,2k_5k,macro_trend,набл.,active,oris.md
Oris,33,Big Crown Pointer Date 40,40,12 для 754; 12.3 для 403,≈47.5,"Oris 754, Sellita-based; Oris 403",2k_5k,evergreen,набл.,active,oris.md
Oris,33,ProPilot X Calibre 400 39,39,11.8,≈47,"Oris Calibre 400, автоматический",2k_5k,macro_trend,набл.,active,oris.md
Oris,33,Hölstein Edition 2026,39.5,11.1,≈45.5,Oris Calibre 401,2k_5k,insider_hype,набл.,active,oris.md
Oris,33,ProPilot Altimeter 47,47,16,≈47 ([обзор](https://www.ablogtowatch.com/hands-on-the-oris-big-crown-propilot-altimeter-watch-climbs-higher/)),Oris 793-1,5k_10k,insider_hype,набл.,active,oris.md
Oris,33,Big Crown ProPilot Calibre 111 44,44,"≈13,85 ([обзор](https://www.thedivewatchconnection.com/forum/viewtopic.php?t=62465))",≈52 (https://wristbuzz.com/watch-dimensions/oris/),"Oris Calibre 111, ручной завод",5k_10k,insider_hype,оц.класс,active,oris.md
Rado,34,DiaStar Original Automatic,38,"12,1",≈45 ([обзор](https://monochrome-watches.com/rado-diastar-original-and-diastar-original-60-year-anniversary-hands-on-price/)),R764,1k_2k,evergreen,набл.,active,rado.md
Rado,34,Integral Automatic,данные отсутствуют,≈10–11 (https://www.ashford.com/products/rado-r20693102-sd),≈32 (https://www.watchmaxx.com/rado-watch-r20693102),данные отсутствуют,1k_2k,speculative_bubble,оц.класс,active,rado.md
Rado,34,Captain Cook Automatic 42,42,"12,3",≈49 ([обзор](https://www.ablogtowatch.com/rado-captain-cook-automatic-42mm-watch-review/)),R763,2k_5k,evergreen,набл.,active,rado.md
Rado,34,Captain Cook Automatic 37,37,"11,1",≈43,R763; ETA C07.611 также указан для версии 37 мм,2k_5k,evergreen,набл.,active,rado.md
Rado,34,Captain Cook High-Tech Ceramic 43,43,"14,6","≈49,8 ([обзор](https://thecalibratedwrist.com/2023/09/03/off-the-cuff-rado-captain-cook-high-tech-ceramic-diver/))",R734; 03.734.731,2k_5k,macro_trend,набл.,active,rado.md
Rado,34,True Square Open Heart,"38 ширина; 44,2 длина корпуса","9,7","≈44,2 ([обзор](https://thecalibratedwrist.com/2025/11/20/hands-on-with-the-rado-true-square-open-heart-x-ji-chang-wook/))",R734,2k_5k,macro_trend,набл.,active,rado.md
Rado,34,Centrix Automatic Open Heart,"39,5","11,3","42,5 (https://www.gnomonwatches.com/products/centrix-automatic-open-heart-black-ref-r30012152)",R734,2k_5k,evergreen,набл.,active,rado.md
Rado,34,HyperChrome Automatic Chronograph,44–45,"13,0–15,1","≈50,10 ([обзор](https://thewatchobserver.ouest-france.fr/essais-montres/hyperchrome-xxl-automatic-chronograph-5183/))",R603; R650; ETA 2894-2,2k_5k,contrarian,оц.класс,active,rado.md
Rado,34,Ceramica Automatic,"30 ширина × 41,7 длина корпуса","12,3","≈41,7 ([обзор](https://www.ablogtowatch.com/rado-ceramica-automatic-watch/))",ETA 2671,2k_5k,contrarian,оц.класс,active,rado.md
Rado,34,Anatom Automatic,"32,5 ширина; 46,3 длина корпуса","11,3","≈46,3 ([обзор](https://timeandtidewatches.com/rado-anatom-automatic-hands-on/))",R766,5k_10k,macro_trend,набл.,active,rado.md
Bell & Ross,35,BR 03 Black Steel 41,41 × 41,"9,65",≈41 ([обзор](https://www.exquisitetimepieces.com/bell-ross-br03a-bl-st-srb-br-03-black-steel.html)),BR-CAL.302-1 / BR-CAL.302,2k_5k,evergreen,набл.,active,bell-ross.md
Bell & Ross,35,BR 03 Diver 42,42 × 42,"12–12,3",≈53 ([обзор](https://www.ablogtowatch.com/watch-review-bell-ross-br-03-diver-matte-black-ceramic-watch/)),"BR-CAL.302-1, база Sellita SW300-1",2k_5k,evergreen,набл.,active,bell-ross.md
Bell & Ross,35,BR 05 GMT 41,41,"11,07","≈41,0 ([обзор](https://wristbuzz.com/watch-dimensions/bell-ross/))",BR-CAL.325 / BR-CAL.325-1,2k_5k,macro_trend,набл.,active,bell-ross.md
Bell & Ross,35,BR V2-92 Steel Heritage 41,41,12,"47,7 (https://www.watchgecko.com/blogs/magazine/bell-and-ross-br-v2-92-aeronavale-review)",BR-CAL.302,2k_5k,contrarian,набл.,active,bell-ross.md
Bell & Ross,35,BR V2-93 GMT 41,41,"12,4","≈47,7 ([обзор](https://watch.the1916company.com/videos/bell-ross-br-v2-93-gmt-brv293-bl-st-sst-review))",BR-CAL.303,2k_5k,contrarian,набл.,active,bell-ross.md
Bell & Ross,35,BR 01-92 46,46 × 46,"10,5–11,5",55 для Red Limited Edition,ETA 2892,2k_5k,contrarian,набл.,active,bell-ross.md
Bell & Ross,35,BR 03 Chrono 42,42,"≈15,0 ([обзор](https://wristbuzz.com/watch-dimensions/bell-ross/))","≈42,0 ([обзор](https://wristbuzz.com/watch-dimensions/bell-ross/))",BR-CAL.301,5k_10k,macro_trend,набл.,active,bell-ross.md
Bell & Ross,35,BR 05 Black Steel 40,40,"≈10,4 ([обзор](https://wristbuzz.com/watch-dimensions/bell-ross/))","≈40,0 ([обзор](https://wristbuzz.com/watch-dimensions/bell-ross/))",BR-CAL.321,5k_10k,macro_trend,набл.,active,bell-ross.md
Bell & Ross,35,BR-X5 41,41,"12,80","≈49,3 ([обзор](https://www.youtube.com/watch?v=v4Eq65gEwe8))",BR-CAL.323,5k_10k,macro_trend,набл.,active,bell-ross.md
Bell & Ross,35,BR-X1 Skeleton Chronograph 45,45 × 45,"14,5 (https://deployant.com/bell-ross-titanium-skeleton-chronograph/)",≈45 ([обзор](https://watchesbysjx.com/2018/11/review-bell-ross-br-x1-military.html)),BR-CAL.313,15k_plus,insider_hype,набл.,active,bell-ross.md
H. Moser & Cie.,36,Pioneer Centre Seconds 42.8,"42,8","10,6 без стекла; 15,0 по другому источнику",≈48 ([обзор](https://precisionwatches.com/journal/h-moser-pioneer-centre-seconds-cosmic-green-review/)),HMC 200,10k_15k,macro_trend,набл.,active,h-moser.md
H. Moser & Cie.,36,Heritage Centre Seconds 42,"42,0","11,1",≈46 ([обзор](https://watch.the1916company.com/videos/h-moser-heritage-centre-seconds-8200-1201)),HMC 200,10k_15k,evergreen,набл.,active,h-moser.md
H. Moser & Cie.,36,Streamliner Centre Seconds 40,"40,0","12,1; 11,8 у версии 2020",≈40 ([обзор](https://www.youtube.com/watch?v=xk50j98tcus)),HMC 201; HMC 200,15k_plus,evergreen,набл.,active,h-moser.md
H. Moser & Cie.,36,Streamliner Flyback Chronograph 42.3,"42,3","13,35 у Funky Blue; 14,2 у Frozen",≈45 у близкой версии Streamliner Flyback,HMC 907; HMC 902 у версии Funky Blue из обзора,15k_plus,macro_trend,набл.,active,h-moser.md
H. Moser & Cie.,36,Streamliner Perpetual Calendar 42.3,"42,3",11 без кристалла,"≈48,1 ([обзор](https://watch.the1916company.com/videos/h-moser-cie-streamliner-perpetual-calendar))",HMC 812,15k_plus,evergreen,набл.,active,h-moser.md
H. Moser & Cie.,36,Endeavour Centre Seconds Concept 40,"40,0","11,2",47,HMC 200,15k_plus,contrarian,набл.,active,h-moser.md
H. Moser & Cie.,36,Endeavour Perpetual Calendar 42,"42,0","11,9 Purity; 13,1 Concept Tantalum","≈48,4 ([обзор](https://www.youtube.com/watch?v=yq4D2jO-tdY))",HMC 800,15k_plus,insider_hype,набл.,active,h-moser.md
H. Moser & Cie.,36,Endeavour Tourbillon Concept 40,"40,0","10,7","≈47,4 ([обзор](https://www.youtube.com/watch?v=lshElvLJkJw&vl=en))",HMC 804,15k_plus,insider_hype,набл.,active,h-moser.md
H. Moser & Cie.,36,Pioneer Cylindrical Tourbillon 42.8,"42,8","11,7 без стекла; 15,3 со стеклом","51,1 (https://watch.the1916company.com/videos/h-moser-cie-pioneer-cylindrical-tourbillon-skeleton-3811-1200-h-moser-cie-watch-review)",HMC 811,15k_plus,insider_hype,набл.,active,h-moser.md
H. Moser & Cie.,36,Swiss Alp Watch Final Upgrade,44.0 × 38.2,10.5,"≈44,0 ([обзор](https://timeandtidewatches.com/hands-on-if-you-hate-smart-watches-youll-love-the-moser-swiss-alp-watch-final-upgrade/))","HMC 324, ручной завод",15k_plus,contrarian,набл.,active,h-moser.md
F.P. Journe,37,Chronometre Bleu 39,"39, tantalum","8,3",≈46 ([обзор](https://watchmaestro.com/blog/f-p-journe-chronometer-bleu-review/)),"1304, ручной завод, 18K rose gold",15k_plus,insider_hype,набл.,active,fp-journe.md
F.P. Journe,37,Chronometre a Resonance 40,"40, также 42; platinum или rose gold",11,"≈48,5 ([обзор](https://www.youtube.com/watch?v=vtGds50hXT8&vl=en))",1520,15k_plus,evergreen,набл.,active,fp-journe.md
F.P. Journe,37,Tourbillon Souverain 40,"40, platinum или gold","9,9","≈48,2 ([обзор](https://watch.the1916company.com/videos/f-p-journe-tourbillon-souverain-review))","1403, ручной завод",15k_plus,insider_hype,набл.,active,fp-journe.md
F.P. Journe,37,Octa Automatique 40,40,"10,6",≈48 ([обзор](https://watch.the1916company.com/videos/f-p-journe-octa-automatique-lune-al-pt-40-mop-b-watch-review)),1300.3,15k_plus,evergreen,набл.,active,fp-journe.md
F.P. Journe,37,Octa Lune 40,40; также встречается 38,"10,6",≈48 ([обзор](https://watch.the1916company.com/videos/f-p-journe-octa-lune)),1300.3,15k_plus,evergreen,смеш.,active,fp-journe.md
F.P. Journe,37,Octa Perpetuelle 40,40,"10,6","≈47,7 ([обзор](https://quillandpad.com/2024/05/21/f-p-journe-octa-perpetuelle-reviewed-by-tim-mosso/))","1300.3, автоматический, 40 камней",15k_plus,insider_hype,смеш.,active,fp-journe.md
F.P. Journe,37,Centigraphe Souverain 40,40,"10,1",48,"1506, ручной завод",15k_plus,contrarian,набл.,active,fp-journe.md
F.P. Journe,37,Chronometre Optimum 40,40,"10,10",≈48 ([обзор](https://www.fratellowatches.com/f-p-journe-chronometre-optimum-watch-review/)),"1510, ручной завод, мосты и платина из 18K rose gold",15k_plus,evergreen,набл.,active,fp-journe.md
F.P. Journe,37,LineSport Chronographe Rattrapante 44,"44, titanium / 18K 6N gold / platinum","12,1","≈51,7 ([обзор](https://www.youtube.com/watch?v=spDg-s1qs_4&vl=en))",1518,15k_plus,insider_hype,набл.,active,fp-journe.md
F.P. Journe,37,Elegante 48 40,"48 × 40, Titalyt","7,95",48,1210,15k_plus,contrarian,набл.,active,fp-journe.md
Richard Mille,38,RM 011 Felipe Massa,"50 × 40; 44,5 × 50; 50 × 42,7, варианты","16,15; 13,95 для Red Demon","49,8–50,0 (https://www.youtube.com/watch?v=aHpm5Yn_tNo&vl=en)",RMAC1; RMAR1 для Red Demon,15k_plus,macro_trend,смеш.,active,richard-mille.md
Richard Mille,38,RM 035 Rafael Nadal,"39,7 × 48","12,25",≈48 ([обзор](https://www.chrono24.com/richardmille/rm-035--mod1447.htm)),RMUL1,15k_plus,insider_hype,оц.класс,active,richard-mille.md
Richard Mille,38,RM 27-05 Rafael Nadal,"37,25 × 47,25","7,20","≈47,25 ([обзор](https://www.spechtandsohne.com/richard-mille-s-rm-27-05-flying-tourbillon-rafael-nadal-a-masterpiece-of-lightweight-engineering/))",RM27-05,15k_plus,insider_hype,набл.,active,richard-mille.md
Richard Mille,38,RM 055 Bubba Watson,"49,9 × 42,7","13,05","≈49,8 ([обзор](https://www.youtube.com/watch?v=AJiOttrpdw4))",RMUL2,15k_plus,insider_hype,набл.,active,richard-mille.md
Richard Mille,38,RM 72-01,"38,40 × 47,34","11,68","≈47,34 ([обзор](https://www.hodinkee.com/articles/richard-mille-rm-72-01-le-mans-classic))",CRMC1,15k_plus,macro_trend,набл.,active,richard-mille.md
Richard Mille,38,RM 07-01,"45,66 × 31,40; 31,40 × 45,23 для Coloured Ceramics","11,85","≈45,23 ([обзор](https://www.ablogtowatch.com/new-release-richard-mille-rm-07-01-coloured-ceramics-watches/))",CRMA2,15k_plus,macro_trend,набл.,active,richard-mille.md
Richard Mille,38,RM 67-01,"38,70 × 47,52","7,75","≈47,5",CRMA6,15k_plus,evergreen,набл.,active,richard-mille.md
